"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/30/2018 08:45:41:518 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"8","50","0.05","1","14","691.4000000000001","346.2703420762243","345.1296579237756","0","0"
"1","50","0","1","21","874.9999999999997","418.5264123262508","456.47358767374925","0","0"
"5","50","0","1","33","1342.0000000000007","651.783257764655","690.2167422353451","0","0"
"4","50","0","1","27","1488","782.413454654806","705.5865453451938","0","0"
"6","50","0.05","1","34","1211.3999999999999","630.8428465828109","580.5571534171888","0","0"
"2","50","0","1","27","956.0000000000001","424.7545787545787","531.2454212454213","0","0"
"8","50","0.05","1","15","738.4500000000003","374.4930693489516","363.95693065104837","0","0"
"7","50","0.05","1","21","905.3999999999999","465.09492874275475","440.30507125724534","0","0"
"3","50","0","1","26","801.9999999999998","352.91341991341983","449.08658008658006","0","0"
"6","50","0.05","1","35","1214.7","630.8428465828114","583.8571534171888","0","0"
"2","50","0","1","28","1084.0000000000002","499.3000333000331","584.6999666999667","0","0"
"8","50","0.05","1","16","744.6000000000001","375.44306934895167","369.1569306510483","0","0"
"1","50","0","1","22","880.9999999999999","418.5264123262508","462.47358767374914","0","0"
"4","50","0","1","28","1498.0000000000002","783.413454654806","714.5865453451939","0","0"
"2","50","0","1","29","1138.0000000000002","525.3000333000331","612.6999666999668","0","0"
"6","50","0.05","1","36","1223.85","631.7928465828111","592.0571534171888","0","0"
"7","50","0.05","1","22","956.5499999999997","493.54492874275473","463.0050712572453","0","0"
"3","50","0","1","27","935.0000000000003","432.5099111414899","502.4900888585101","0","0"
"2","50","0","1","30","1188.0000000000002","551.9666999666999","636.0333000332998","0","0"
"5","50","0","1","34","1388.0000000000005","671.7832577646549","716.216742235345","0","0"
"1","50","0","1","23","926.9999999999994","441.3835551833937","485.61644481660625","0","0"
"8","50","0.05","1","17","748.6999999999999","376.44306934895167","372.25693065104815","0","0"
"4","50","0","1","29","1505.0000000000002","783.4134546548058","721.586545345194","0","0"
"3","50","0","1","28","981.9999999999997","455.11860679366396","526.8813932063359","0","0"
"2","50","0","1","31","1314.0000000000002","622.8757908757908","691.1242091242092","0","0"
"6","50","0.05","1","37","1234.05","631.6928465828112","602.3571534171889","0","0"
"5","50","0","1","35","1518.9999999999995","746.0078566951363","772.9921433048637","0","0"
"8","50","0.05","1","18","797.8","400.77640268228504","397.0235973177149","0","0"
