"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"experiment"
"04/27/2018 19:43:37:811 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","[step]","total-wealth","sum [wealth] of turtles with [ who mod nn = 0 ]","sum [wealth] of turtles with [ who mod nn = 1 ]"
"2","50","0","40","4320","838.2046477774031","1381.6823876158242"
"5","50","0","18","2050","379.4889554889555","662.4260184260186"
"1","50","0","35","3647.999999999998","568.284068165075","1241.1562188976377"
"6","50","0.05","69","7327.049999999999","1369.506159354921","2400.1597426137673"
"3","50","0","51","5550.999999999999","1073.3652883064647","1781.4671276435981"
"5","50","0","19","2192.0000000000005","416.9175269175269","701.7117327117328"
"4","50","0","44","4736.000000000001","846.7726375218634","1656.7573077650477"
"5","50","0","20","2340.000000000001","439.3460983460983","754.2831612831613"
"7","50","0.05","23","2319.300000000001","444.6288445472656","704.1200276331855"
"1","50","0","36","3792.9999999999986","586.172957053964","1300.7593935008122"
"4","50","0","45","4875","874.2069809562068","1704.5855905933306"
"5","50","0","21","2451.0000000000005","452.3460983460983","768.7117327117328"
"3","50","0","52","5661","1085.365288306465","1824.467127643598"
"6","50","0.05","70","7422.650000000001","1394.8176978164593","2420.0712810753057"
"8","50","0.05","52","5125.75","959.3946927169836","1771.9727545072747"
"1","50","0","37","3893.999999999999","607.6015284825354","1337.0451077865264"
"5","50","0","22","2518.000000000001","467.61882561882555","781.9844599844599"
"4","50","0","46","4987","886.2069809562068","1754.0300350377752"
"6","50","0.05","71","7481.2","1411.5176978164595","2434.5712810753057"
"7","50","0.05","24","2342.4","452.42884454726567","707.8200276331855"
"1","50","0","38","3997","633.6015284825354","1365.0451077865264"
"5","50","0","23","2585","477.6188256188256","804.9844599844599"
"6","50","0.05","72","7590.7","1432.1565867053482","2473.626836630862"
"2","50","0","41","4422.000000000001","847.2046477774032","1418.0157209491572"
"7","50","0.05","25","2439.2","477.1523739590303","732.1435570449504"
"6","50","0.05","73","7691.55","1451.9565867053484","2506.1768366308615"
"8","50","0.05","53","5231.249999999998","978.0946927169837","1814.5227545072744"
"3","50","0","53","5728.000000000003","1104.2743792155557","1836.1034912799619"
"1","50","0","39","4099","650.6015284825354","1415.0451077865262"
"5","50","0","24","2650.9999999999995","492.3331113331113","815.6987456987457"
"7","50","0.05","26","2458.599999999999","483.80237395903026","736.7435570449503"
"4","50","0","47","5132.999999999997","909.6335543827804","1808.7782867860267"
"6","50","0.05","74","7798.299999999999","1477.5343644831262","2529.504614408639"
"3","50","0","54","5749.999999999998","1109.2743792155559","1840.1034912799616"
"2","50","0","42","4566.999999999999","875.7630893358449","1470.509227442664"
"8","50","0.05","54","5333.950000000001","1000.3901472624384","1847.1636635981838"
"1","50","0","40","4238.999999999999","675.1094649904721","1464.1244728658917"
"7","50","0.05","27","2477.6","490.8023739590303","741.2935570449504"
"6","50","0.05","75","7900.199999999998","1485.334364483126","2579.1046144086395"
"3","50","0","55","5847.000000000002","1138.9410458822224","1861.1034912799614"
"8","50","0.05","55","5434.65","1009.2401472624383","1891.7136635981838"
"5","50","0","25","2712","499.33311133311133","842.032079032079"
"7","50","0.05","28","2572.6","521.319040625697","763.721334822728"
"1","50","0","41","4311","691.1094649904719","1482.1244728658917"
"6","50","0.05","76","8040.000000000004","1511.8659434304946","2606.241456513903"
"3","50","0","56","5952.999999999999","1146.9410458822224","1899.4368246132951"
"4","50","0","48","5160.000000000001","921.6335543827804","1813.778286786027"
"7","50","0.05","29","2666.3999999999996","528.169040625697","793.9380014893949"
"5","50","0","26","2848.0000000000005","539.6957486957488","871.7683427683428"
"6","50","0.05","77","8185","1537.2389593035105","2660.8549485773947"
"1","50","0","42","4419.999999999999","713.6549195359264","1501.6699274113457"
"8","50","0.05","56","5573.65","1034.9944534825338","1934.9308884785667"
"2","50","0","43","4711.000000000001","899.8807363946682","1522.9667437825333"
"7","50","0.05","30","2766.4000000000005","533.069040625697","839.5880014893947"
"4","50","0","49","5303.999999999999","952.6400903304929","1855.902469792563"
"6","50","0.05","78","8331.650000000001","1567.7936601582112","2707.606230628677"
"8","50","0.05","57","5723.950000000002","1051.594453482534","1998.3808884785667"
"3","50","0","57","5972.999999999999","1152.9410458822222","1901.436824613295"
"5","50","0","27","2959","559.6957486957488","902.7683427683427"
"1","50","0","43","4561","733.286498483295","1552.9857168850303"
"4","50","0","50","5415","975.0686617590641","1895.188184078277"
"6","50","0.05","79","8479.6","1586.8663874309386","2757.347139719586"
"2","50","0","44","4817.999999999999","917.5474030613351","1552.6334104491998"
"7","50","0.05","31","2818.3500000000013","549.5833263399826","849.9522872036804"
"8","50","0.05","58","5752.8","1062.4444534825338","2003.9808884785664"
"4","50","0","51","5528","1002.846439536842","1937.7437396338325"
"1","50","0","44","4712","756.7309429277394","1597.2079391072525"
"5","50","0","28","3099.999999999999","574.6957486957489","962.2127872127871"
"6","50","0.05","80","8500.25","1594.5663874309384","2758.9471397195857"
