"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary mutation-magnitude"
"05/07/2018 23:07:05:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","percent-to-replace","N","mutation-magnitude","tau","p","num-variants","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"4","1","50","0","0","0","1","18","855.9999999999994","0","31","19"
"7","1","50","0.05","0","0","1","28","1402.0000000000005","3","22","25"
"6","1","50","0.05","0","0","1","20","908.9999999999995","1","20","29"
"3","1","50","0","0","0","1","18","485.99999999999966","2","20","28"
"5","1","50","0","0","0","1","29","1433.9999999999995","2","24","24"
"8","1","50","0.05","0","0","1","18","926","1","19","30"
"2","1","50","0","0","0","1","24","1323.9999999999998","5","28","17"
"6","1","50","0.05","0","0","1","21","1030.0000000000002","1","21","28"
"3","1","50","0","0","0","1","19","527.9999999999999","2","20","28"
"5","1","50","0","0","0","1","30","1435.9999999999998","2","24","24"
"2","1","50","0","0","0","1","25","1328.9999999999998","5","28","17"
"7","1","50","0.05","0","0","1","29","1406.9999999999995","5","18","27"
"4","1","50","0","0","0","1","19","895.9999999999993","0","33","17"
"5","1","50","0","0","0","1","31","1438","2","24","24"
"8","1","50","0.05","0","0","1","19","928.0000000000003","2","21","27"
"3","1","50","0","0","0","1","20","529.9999999999997","2","20","28"
"7","1","50","0.05","0","0","1","30","1451.0000000000002","4","22","24"
"4","1","50","0","0","0","1","20","936.0000000000009","0","31","19"
"2","1","50","0","0","0","1","26","1414","5","28","17"
"1","1","50","0","0","0","1","13","613","3","18","29"
"6","1","50","0.05","0","0","1","22","1032","2","19","29"
"5","1","50","0","0","0","1","32","1560.0000000000002","2","24","24"
"8","1","50","0.05","0","0","1","20","972.0000000000001","4","18","28"
"4","1","50","0","0","0","1","21","1016.0000000000009","0","33","17"
"6","1","50","0.05","0","0","1","23","1113.0000000000007","1","20","29"
"3","1","50","0","0","0","1","21","531.9999999999999","2","20","28"
"5","1","50","0","0","0","1","33","1642.0000000000005","2","24","24"
"1","1","50","0","0","0","1","14","656.0000000000001","3","18","29"
"4","1","50","0","0","0","1","22","1016.0000000000007","0","31","19"
"8","1","50","0.05","0","0","1","21","976","4","21","25"
"6","1","50","0.05","0","0","1","24","1234.0000000000002","1","19","30"
"5","1","50","0","0","0","1","34","1644.0000000000005","2","24","24"
"3","1","50","0","0","0","1","22","574","2","20","28"
"7","1","50","0.05","0","0","1","31","1456.0000000000002","5","21","24"
"2","1","50","0","0","0","1","27","1459.0000000000002","5","28","17"
"1","1","50","0","0","0","1","15","658.9999999999999","3","18","29"
"4","1","50","0","0","0","1","23","1016.0000000000009","0","33","17"
"8","1","50","0.05","0","0","1","22","1019.0000000000001","3","22","25"
"3","1","50","0","0","0","1","23","575.9999999999999","2","20","28"
"1","1","50","0","0","0","1","16","701.9999999999999","3","18","29"
"8","1","50","0.05","0","0","1","23","1063","4","21","25"
"4","1","50","0","0","0","1","24","1016.0000000000006","0","31","19"
"7","1","50","0.05","0","0","1","32","1581.9999999999998","6","19","25"
"6","1","50","0.05","0","0","1","25","1235.0000000000005","1","19","30"
"8","1","50","0.05","0","0","1","24","1067.0000000000002","4","20","26"
"1","1","50","0","0","0","1","17","744.9999999999998","3","18","29"
"4","1","50","0","0","0","1","25","1056","0","33","17"
"7","1","50","0.05","0","0","1","33","1665.9999999999993","4","20","26"
"6","1","50","0.05","0","0","1","26","1236.000000000001","1","17","32"
"5","1","50","0","0","0","1","35","1686","2","24","24"
"8","1","50","0.05","0","0","1","25","1111","4","20","26"
"3","1","50","0","0","0","1","24","618.0000000000001","2","20","28"
"2","1","50","0","0","0","1","28","1464.0000000000005","5","28","17"
"4","1","50","0","0","0","1","26","1176.0000000000007","0","31","19"
"7","1","50","0.05","0","0","1","34","1712.9999999999998","7","17","26"
"5","1","50","0","0","0","1","36","1728","2","24","24"
"1","1","50","0","0","0","1","18","747.9999999999999","3","18","29"
"7","1","50","0.05","0","0","1","35","1760.999999999999","8","17","25"
