"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary p, tau=0"
"05/02/2018 08:09:57:117 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"2","50","0","0","32","1964.9999999999998","0","1964.9999999999998"
"7","50","0","0","42","2535.9999999999995","0","2535.9999999999995"
"5","50","0","0","23","1492","0","1492"
"3","50","0","0","31","1850.0000000000002","0","1850.0000000000002"
"1","50","0","0","20","1009.9999999999999","0","1009.9999999999999"
"6","50","0","0","40","2404","0","2404"
"2","50","0","0","33","2060","0","2060"
"7","50","0","0","43","2550","0","2550"
"5","50","0","0","24","1513.0000000000002","0","1513.0000000000002"
"8","50","0","0","35","1896.0000000000002","0","1896.0000000000002"
"3","50","0","0","32","1905.0000000000002","0","1905.0000000000002"
"6","50","0","0","41","2419.9999999999995","0","2419.9999999999995"
"5","50","0","0","25","1528","0","1528"
"2","50","0","0","34","2112","0","2112"
"1","50","0","0","21","1148.0000000000002","0","1148.0000000000002"
"4","50","0","0","34","1785.9999999999998","0","1785.9999999999998"
"5","50","0","0","26","1544.0000000000002","0","1544.0000000000002"
"8","50","0","0","36","1911.000000000001","0","1911.000000000001"
"6","50","0","0","42","2478.999999999999","0","2478.999999999999"
"2","50","0","0","35","2128.9999999999995","0","2128.9999999999995"
"1","50","0","0","22","1242.9999999999998","0","1242.9999999999998"
"5","50","0","0","27","1596.0000000000002","0","1596.0000000000002"
"3","50","0","0","33","1919.9999999999998","0","1919.9999999999998"
"8","50","0","0","37","1929.0000000000005","0","1929.0000000000005"
"1","50","0","0","23","1262.9999999999995","0","1262.9999999999995"
"2","50","0","0","36","2226","0","2226"
"6","50","0","0","43","2494.9999999999995","0","2494.9999999999995"
"4","50","0","0","35","1886.0000000000005","0","1886.0000000000005"
"8","50","0","0","38","1984.0000000000002","0","1984.0000000000002"
"2","50","0","0","37","2283","0","2283"
"1","50","0","0","24","1320.0000000000002","0","1320.0000000000002"
"5","50","0","0","28","1655.9999999999995","0","1655.9999999999995"
"8","50","0","0","39","2077","0","2077"
"3","50","0","0","34","1939.0000000000005","0","1939.0000000000005"
"6","50","0","0","44","2548.9999999999995","0","2548.9999999999995"
