"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 17:04:01:312 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"1","50","0","0","20","1379","32","8","10"
"5","50","0","0","23","1448.0000000000005","38","8","4"
"3","50","0","0","22","1129","37","6","7"
"8","50","0.05","0","23","1731.9000000000003","38","6","6"
"7","50","0.05","0","24","1865.0499999999997","30","10","10"
"4","50","0","0","34","2042.9999999999995","38","7","5"
"6","50","0.05","0","29","1920.4","37","7","6"
"5","50","0","0","24","1564.0000000000005","36","12","2"
"7","50","0.05","0","25","1975.45","31","11","8"
"4","50","0","0","35","2195","32","10","8"
"3","50","0","0","23","1166.9999999999998","38","6","6"
"2","50","0","0","38","2599.9999999999995","29","9","12"
"6","50","0.05","0","30","1954.8000000000006","35","6","9"
"4","50","0","0","36","2350.9999999999995","36","7","7"
"7","50","0.05","0","26","2089.9","35","10","5"
"5","50","0","0","25","1600.0000000000005","36","12","2"
"1","50","0","0","21","1415","36","6","8"
"2","50","0","0","39","2681.0000000000005","41","5","4"
"8","50","0.05","0","24","1891.3","40","4","6"
"5","50","0","0","26","1678.9999999999995","39","11","0"
"7","50","0.05","0","27","2166.1000000000004","37","8","5"
"3","50","0","0","24","1326","39","4","7"
"4","50","0","0","37","2389.9999999999995","39","7","4"
"2","50","0","0","40","2717.0000000000005","36","8","6"
"8","50","0.05","0","25","1972.8000000000002","42","5","3"
"5","50","0","0","27","1757","38","8","4"
"1","50","0","0","22","1450.0000000000002","35","9","6"
"3","50","0","0","25","1402.9999999999995","37","8","5"
"7","50","0.05","0","28","2238.4999999999995","33","11","6"
"2","50","0","0","41","2786.9999999999995","30","13","7"
"6","50","0.05","0","31","2029.4","35","9","6"
"8","50","0.05","0","26","2089.1000000000004","37","7","6"
"5","50","0","0","28","1872","35","7","8"
"1","50","0","0","23","1488.0000000000002","38","4","8"
"2","50","0","0","42","2937","30","8","12"
"3","50","0","0","26","1558.9999999999998","36","7","7"
"6","50","0.05","0","32","2105.8","37","5","8"
"8","50","0.05","0","27","2162.350000000001","34","7","9"
"5","50","0","0","29","1907.0000000000002","35","8","7"
"3","50","0","0","27","1674.9999999999995","36","10","4"
"2","50","0","0","43","3016","39","7","4"
"1","50","0","0","24","1530.0000000000005","42","4","4"
"6","50","0.05","0","33","2141.3500000000004","36","7","7"
"3","50","0","0","28","1792.9999999999998","38","8","4"
"4","50","0","0","38","2427.0000000000005","37","9","4"
"2","50","0","0","44","3130.0000000000005","34","9","7"
"1","50","0","0","25","1568","38","5","7"
"8","50","0.05","0","28","2196.5000000000005","35","7","8"
"6","50","0.05","0","34","2222.7500000000005","42","7","1"
"4","50","0","0","39","2580","33","9","8"
"7","50","0.05","0","29","2273.749999999999","36","7","7"
"3","50","0","0","29","1824.9999999999998","32","11","7"
"6","50","0.05","0","35","2258.0499999999993","36","8","6"
"5","50","0","0","30","1941.0000000000005","34","9","7"
"2","50","0","0","45","3287","37","9","4"
"1","50","0","0","26","1650","42","3","5"
"3","50","0","0","30","1941.9999999999995","37","8","5"
"6","50","0.05","0","36","2335.250000000001","38","7","5"
"7","50","0.05","0","30","2353.2999999999997","40","3","7"
"4","50","0","0","40","2663","43","2","5"
"2","50","0","0","46","3365.0000000000005","38","6","6"
"5","50","0","0","31","1973","32","11","7"
"6","50","0.05","0","37","2412.9000000000005","38","5","7"
"8","50","0.05","0","29","2310.05","34","5","11"
"3","50","0","0","31","1978.9999999999998","37","8","5"
"1","50","0","0","27","1688.9999999999995","39","6","5"
"2","50","0","0","47","3401","36","11","3"
"4","50","0","0","41","2779.999999999999","37","7","6"
"5","50","0","0","32","2043.0000000000002","30","13","7"
"7","50","0.05","0","31","2507.4500000000016","35","6","9"
"2","50","0","0","48","3479.9999999999995","39","4","7"
"4","50","0","0","42","2815.9999999999986","36","7","7"
"7","50","0.05","0","32","2623.6","37","9","4"
"5","50","0","0","33","2115.9999999999995","33","11","6"
"8","50","0.05","0","30","2389.15","40","7","3"
"1","50","0","0","28","1725.9999999999998","37","6","7"
"4","50","0","0","43","2851","35","10","5"
"7","50","0.05","0","33","2658.7000000000003","36","8","6"
"8","50","0.05","0","31","2506.500000000001","38","3","9"
"6","50","0.05","0","38","2447.1","35","6","9"
"5","50","0","0","34","2232.0000000000005","36","7","7"
"2","50","0","0","49","3557.999999999999","38","9","3"
"8","50","0.05","0","32","2663.7999999999997","38","6","6"
"7","50","0.05","0","34","2731.100000000001","33","10","7"
"4","50","0","0","44","3010.9999999999995","40","5","5"
"3","50","0","0","32","2133.999999999999","35","10","5"
"5","50","0","0","35","2307","35","9","6"
"1","50","0","0","29","1762.9999999999995","37","7","6"
"2","50","0","0","50","3636.999999999999","39","5","6"
"8","50","0.05","0","33","2818.0499999999997","35","5","10"
"6","50","0.05","0","39","2524.400000000001","38","6","6"
"7","50","0.05","0","35","2807.25","37","9","4"
"5","50","0","0","36","2416.0000000000005","29","11","10"
"1","50","0","0","30","1801","38","6","6"
"2","50","0","0","51","3717","40","6","4"
"8","50","0.05","0","34","2891.5000000000005","34","8","8"
"7","50","0.05","0","36","2845.7499999999995","39","6","5"
"4","50","0","0","45","3050.999999999999","40","4","6"
"3","50","0","0","33","2164.9999999999995","31","10","9"
"6","50","0.05","0","40","2646.9500000000003","43","6","1"
"5","50","0","0","37","2491","35","9","6"
"2","50","0","0","52","3792","35","7","8"
"1","50","0","0","31","1881.0000000000007","40","5","5"
"8","50","0.05","0","35","3005.7","35","7","8"
"7","50","0.05","0","37","2928.05","43","5","2"
"3","50","0","0","34","2275.9999999999995","31","10","9"
"5","50","0","0","38","2530.000000000001","39","7","4"
"2","50","0","0","53","3825.9999999999995","34","8","8"
"6","50","0.05","0","41","2685.45","39","8","3"
"1","50","0","0","32","2044","43","4","3"
"8","50","0.05","0","36","3039.8500000000004","35","8","7"
"3","50","0","0","35","2346.0000000000005","30","14","6"
"4","50","0","0","46","3131.0000000000005","40","3","7"
"2","50","0","0","54","3937","31","11","8"
"8","50","0.05","0","37","3113.0500000000015","34","7","9"
"1","50","0","0","33","2164.9999999999995","41","3","6"
"5","50","0","0","39","2567.000000000001","37","7","6"
"7","50","0.05","0","38","3090.6000000000004","43","4","3"
"6","50","0.05","0","42","2724.8999999999996","40","6","4"
"2","50","0","0","55","4050","33","12","5"
"8","50","0.05","0","38","3193.350000000001","41","5","4"
"3","50","0","0","36","2459","33","10","7"
"2","50","0","0","56","4207","37","9","4"
"7","50","0.05","0","39","3129.0999999999995","39","8","3"
"7","50","0.05","0","40","3285.4999999999995","37","6","7"
