"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/01/2018 08:04:47:073 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"4","50","0","1","16","794.0000000000001","6","24","20"
"6","50","0.05","1","28","1170.3499999999997","3","23","24"
"2","50","0","1","33","1693.9999999999989","1","22","27"
"8","50","0.05","1","24","669.7499999999999","1","23","26"
"5","50","0","1","21","1142","2","29","19"
"3","50","0","1","24","1178.9999999999998","2","19","29"
"4","50","0","1","17","840.9999999999998","7","20","23"
"6","50","0.05","1","29","1173.3499999999997","3","23","24"
"8","50","0.05","1","25","670.7499999999999","1","23","26"
"2","50","0","1","34","1694.9999999999986","1","22","27"
"1","50","0","1","12","318","2","28","20"
"5","50","0","1","22","1263.9999999999998","2","29","19"
"4","50","0","1","18","888.9999999999998","8","21","21"
"7","50","0.05","1","18","743.9499999999999","1","24","25"
"6","50","0.05","1","30","1256.3500000000004","3","23","24"
"8","50","0.05","1","26","791.75","1","23","26"
"3","50","0","1","25","1220.9999999999998","2","18","30"
"4","50","0","1","19","894.9999999999998","6","24","20"
"1","50","0","1","13","359.99999999999994","2","27","21"
"2","50","0","1","35","1775.9999999999995","1","22","27"
"7","50","0.05","1","19","784.9500000000003","1","24","25"
"3","50","0","1","26","1263.0000000000005","2","19","29"
"4","50","0","1","20","901.9999999999999","7","20","23"
"6","50","0.05","1","31","1299.35","3","23","24"
"1","50","0","1","14","482","2","28","20"
"5","50","0","1","23","1386.0000000000005","2","29","19"
"2","50","0","1","36","1857.0000000000002","1","22","27"
"7","50","0.05","1","20","865.9500000000003","1","24","25"
"8","50","0.05","1","27","792.75","1","23","26"
"3","50","0","1","27","1304.9999999999998","2","18","30"
"4","50","0","1","21","909.9999999999998","8","21","21"
"6","50","0.05","1","32","1422.3500000000001","3","23","24"
"1","50","0","1","15","483.99999999999994","2","27","21"
"2","50","0","1","37","1858.0000000000005","1","22","27"
"8","50","0.05","1","28","873.7500000000001","1","23","26"
"4","50","0","1","22","1036","6","24","20"
"6","50","0.05","1","33","1465.3500000000004","3","23","24"
"7","50","0.05","1","21","906.9499999999999","1","24","25"
"2","50","0","1","38","1938.9999999999986","1","22","27"
"8","50","0.05","1","29","914.7499999999999","1","23","26"
"4","50","0","1","23","1043.0000000000002","7","20","23"
"7","50","0.05","1","22","907.9499999999999","1","24","25"
"5","50","0","1","24","1388.0000000000007","2","29","19"
"1","50","0","1","16","605.9999999999998","2","28","20"
"3","50","0","1","28","1427.0000000000002","2","19","29"
"2","50","0","1","39","1939.9999999999984","1","22","27"
"8","50","0.05","1","30","915.7500000000001","1","23","26"
"6","50","0.05","1","34","1468.3500000000001","3","23","24"
"1","50","0","1","17","647.9999999999998","2","27","21"
"3","50","0","1","29","1429","2","18","30"
"2","50","0","1","40","1980.999999999998","1","22","27"
"8","50","0.05","1","31","956.7500000000001","1","23","26"
"6","50","0.05","1","35","1511.3500000000008","3","23","24"
"7","50","0.05","1","23","908.9499999999998","1","24","25"
"4","50","0","1","24","1091.0000000000002","8","21","21"
"5","50","0","1","25","1430","2","29","19"
"3","50","0","1","30","1551.0000000000005","2","19","29"
"2","50","0","1","41","1981.9999999999982","1","22","27"
"8","50","0.05","1","32","957.75","1","23","26"
"6","50","0.05","1","36","1554.35","3","23","24"
"4","50","0","1","25","1217","6","24","20"
"1","50","0","1","18","689.9999999999995","2","28","20"
"5","50","0","1","26","1431.9999999999998","2","29","19"
"2","50","0","1","42","1982.999999999998","1","22","27"
"8","50","0.05","1","33","958.7500000000001","1","23","26"
"3","50","0","1","31","1633.0000000000005","2","18","30"
"6","50","0.05","1","37","1557.3500000000001","3","23","24"
"4","50","0","1","26","1263.9999999999995","7","20","23"
"2","50","0","1","43","1983.9999999999982","1","22","27"
"8","50","0.05","1","34","1079.7500000000002","1","23","26"
"3","50","0","1","32","1634.9999999999995","2","19","29"
"6","50","0.05","1","38","1560.3499999999997","3","23","24"
"7","50","0.05","1","24","909.9499999999998","1","24","25"
"5","50","0","1","27","1474.0000000000005","2","29","19"
