"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:30:23:341 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"5","50","0","0.5","22","1030","288.79760762113705","741.2023923788629"
"1","50","0","0.5","21","1046.9999999999998","491.27513227513214","555.7248677248677"
"4","50","0","0.5","43","2924","1204.7589916103848","1719.241008389615"
"7","50","0.05","0.5","27","1779.1","854.0168576521518","925.0831423478481"
"6","50","0.05","0.5","36","2160","702.9610488754453","1457.0389511245546"
"8","50","0.05","0.5","8","730.8000000000001","238.2272727272727","492.57272727272726"
"2","50","0","0.5","6","422","191.11111111111111","230.88888888888886"
"1","50","0","0.5","22","1067.9999999999998","502.2751322751323","565.7248677248677"
"4","50","0","0.5","44","2942.0000000000005","1214.758991610385","1727.2410083896152"
"7","50","0.05","0.5","28","1848.9000000000003","884.3835243188184","964.5164756811815"
"6","50","0.05","0.5","37","2182.5500000000006","712.761048875445","1469.7889511245544"
"1","50","0","0.5","23","1121.9999999999995","517.4289784289783","604.5710215710214"
"4","50","0","0.5","45","2961","1222.7589916103848","1738.2410083896152"
"8","50","0.05","0.5","9","866.8499999999996","303.315367965368","563.5346320346321"
"2","50","0","0.5","7","514.9999999999999","242.74747474747468","272.2525252525252"
"7","50","0.05","0.5","29","1952.749999999999","928.9835243188185","1023.7664756811814"
"6","50","0.05","0.5","38","2239.2500000000005","731.8943822087786","1507.355617791222"
"1","50","0","0.5","24","1179","530.0653420653421","648.9346579346579"
"4","50","0","0.5","46","2975","1228.7589916103846","1746.2410083896152"
"7","50","0.05","0.5","30","2019.3500000000006","960.9289788642731","1058.421021135727"
"2","50","0","0.5","8","583.9999999999998","279.5252525252526","304.4747474747475"
"6","50","0.05","0.5","39","2336.7","768.1610488754451","1568.538951124555"
"7","50","0.05","0.5","31","2127.3499999999995","1033.962312197606","1093.3876878023937"
"4","50","0","0.5","47","3110","1298.4732773246703","1811.5267226753297"
"5","50","0","0.5","23","1136","308.7976076211371","827.202392378863"
"3","50","0","0.5","2","164","68","96"
"6","50","0.05","0.5","40","2358.9500000000003","780.711048875445","1578.238951124555"
"8","50","0.05","0.5","10","896.35","327.565367965368","568.7846320346321"
"7","50","0.05","0.5","32","2198.9999999999995","1074.5345344198283","1124.4654655801712"
"4","50","0","0.5","48","3184","1322.4732773246703","1861.5267226753297"
"2","50","0","0.5","9","617","304.5252525252525","312.4747474747474"
"5","50","0","0.5","24","1251","339.2261790497084","911.7738209502915"
"6","50","0.05","0.5","41","2378.8499999999995","791.611048875445","1587.238951124555"
"8","50","0.05","0.5","11","929.2500000000001","347.315367965368","581.934632034632"
"7","50","0.05","0.5","33","2270.8","1107.4178677531615","1163.382132246838"
"5","50","0","0.5","25","1315.9999999999998","361.22617904970843","954.7738209502915"
"4","50","0","0.5","49","3214.0000000000005","1345.4732773246706","1868.5267226753297"
"6","50","0.05","0.5","42","2397.6999999999994","800.5110488754452","1597.1889511245545"
"8","50","0.05","0.5","12","1035.0500000000002","414.34870129870126","620.7012987012986"
"7","50","0.05","0.5","34","2298.7499999999995","1123.0178677531617","1175.732132246838"
"3","50","0","0.5","3","316","155.22222222222223","160.77777777777777"
"1","50","0","0.5","25","1275","596.8653420653421","678.1346579346579"
