"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 17:53:08:912 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"6","50","0.05","0","37","1555.95","9","12","29"
"8","50","0.05","0","39","1751.75","12","10","28"
"7","50","0.05","0","35","1750","8","27","15"
"3","50","0","0","36","1779.0000000000002","8","25","17"
"4","50","0","0","43","2119","12","33","5"
"2","50","0","0","36","1750.9999999999998","6","10","34"
"1","50","0","0","30","1380.9999999999998","21","14","15"
"6","50","0.05","0","38","1561.2000000000003","7","21","22"
"3","50","0","0","37","1785.000000000001","6","24","20"
"8","50","0.05","0","40","1843.2000000000005","13","14","23"
"2","50","0","0","37","1764.0000000000002","13","20","17"
"5","50","0","0","35","1949.9999999999998","5","15","30"
"7","50","0.05","0","36","1754.4","6","5","39"
"4","50","0","0","44","2172.0000000000005","13","19","18"
"1","50","0","0","31","1392","11","20","19"
"8","50","0.05","0","41","1925.5500000000002","4","41","5"
"2","50","0","0","38","1769","5","29","16"
"6","50","0.05","0","39","1566.3500000000001","7","31","12"
"3","50","0","0","38","1921","16","7","27"
"4","50","0","0","45","2255.999999999999","4","11","35"
"5","50","0","0","36","1958.0000000000002","8","31","11"
"1","50","0","0","32","1396","4","15","31"
"8","50","0.05","0","42","2060.8500000000004","17","14","19"
"6","50","0.05","0","40","1693.3500000000004","8","16","26"
"7","50","0.05","0","37","1770.6000000000001","18","23","9"
"2","50","0","0","39","1824.0000000000005","15","11","24"
"3","50","0","0","39","2052","11","24","15"
"5","50","0","0","37","2044.9999999999998","7","23","20"
"1","50","0","0","33","1450.0000000000005","14","23","13"
"8","50","0.05","0","43","2071.3500000000004","12","16","22"
"7","50","0.05","0","38","1783.1000000000004","14","24","12"
"4","50","0","0","46","2349.9999999999995","14","23","13"
