"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"04/30/2018 19:53:14:957 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"6","50","0.05","1","17","672.7499999999999","1","26","23"
"5","50","0","1","13","742.0000000000005","4","26","20"
"4","50","0","1","32","964.0000000000002","1","24","25"
"1","50","0","1","17","852.9999999999998","2","22","26"
"7","50","0.05","1","18","729.4500000000002","0","22","28"
"8","50","0.05","1","25","1026.8000000000004","2","22","26"
"4","50","0","1","33","1085.0000000000007","1","25","24"
"3","50","0","1","19","784.0000000000003","0","33","17"
"6","50","0.05","1","18","713.7499999999999","1","26","23"
"5","50","0","1","14","825.0000000000001","3","26","21"
"8","50","0.05","1","26","1068.8000000000004","2","22","26"
"2","50","0","1","22","674.9999999999998","1","24","25"
"4","50","0","1","34","1206.0000000000002","1","24","25"
"1","50","0","1","18","854.9999999999997","2","23","25"
"8","50","0.05","1","27","1110.8000000000004","2","22","26"
"6","50","0.05","1","19","754.7499999999998","1","26","23"
"2","50","0","1","23","715.9999999999999","1","24","25"
"7","50","0.05","1","19","769.4500000000003","0","22","28"
"4","50","0","1","35","1247.0000000000002","1","25","24"
"3","50","0","1","20","905","1","33","16"
"5","50","0","1","15","909.0000000000001","4","26","20"
"4","50","0","1","36","1328.0000000000005","1","24","25"
"2","50","0","1","24","717","1","24","25"
"6","50","0.05","1","20","795.7499999999997","1","26","23"
"3","50","0","1","21","905.0000000000001","0","33","17"
"7","50","0.05","1","20","889.45","0","22","28"
"4","50","0","1","37","1329.0000000000007","1","25","24"
"5","50","0","1","16","951.9999999999991","3","26","21"
"3","50","0","1","22","946","1","33","16"
"8","50","0.05","1","28","1112.8000000000004","2","22","26"
"6","50","0.05","1","21","916.75","1","26","23"
"7","50","0.05","1","21","929.4499999999998","0","22","28"
"4","50","0","1","38","1330.0000000000005","1","24","25"
