"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:32:57:938 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"8","50","0.05","0","50","2893.5999999999995","0","2893.5999999999995"
"7","50","0.05","0","21","1110.2000000000005","0","1110.2000000000005"
"5","50","0","0","20","1507","0","1507"
"1","50","0","0","42","2876","0","2876"
"2","50","0","0","18","1118.9999999999995","0","1118.9999999999995"
"3","50","0","0","25","1199.9999999999995","0","1199.9999999999995"
"6","50","0.05","0","18","1070.85","0","1070.85"
"7","50","0.05","0","22","1127.8499999999992","0","1127.8499999999992"
"4","50","0","0","13","671.9999999999998","0","671.9999999999998"
"1","50","0","0","43","2935.000000000001","0","2935.000000000001"
"2","50","0","0","19","1137","0","1137"
"3","50","0","0","26","1256","0","1256"
"5","50","0","0","21","1604","0","1604"
"7","50","0.05","0","23","1221.4","0","1221.4"
"6","50","0.05","0","19","1084.4","0","1084.4"
"3","50","0","0","27","1319","0","1319"
"8","50","0.05","0","51","2948.8999999999996","0","2948.8999999999996"
"4","50","0","0","14","689.9999999999999","0","689.9999999999999"
"7","50","0.05","0","24","1358.7500000000002","0","1358.7500000000002"
"3","50","0","0","28","1418.0000000000002","0","1418.0000000000002"
"5","50","0","0","22","1695.9999999999998","0","1695.9999999999998"
"7","50","0.05","0","25","1493.35","0","1493.35"
"2","50","0","0","20","1188","0","1188"
"6","50","0.05","0","20","1102.9","0","1102.9"
"7","50","0.05","0","26","1506.8500000000001","0","1506.8500000000001"
"4","50","0","0","15","829","0","829"
"3","50","0","0","29","1437","0","1437"
"8","50","0.05","0","52","3044.1999999999994","0","3044.1999999999994"
"1","50","0","0","44","2993.0000000000005","0","2993.0000000000005"
"5","50","0","0","23","1715","0","1715"
"3","50","0","0","30","1573.0000000000002","0","1573.0000000000002"
"7","50","0.05","0","27","1561.2500000000002","0","1561.2500000000002"
"6","50","0.05","0","21","1157.2499999999998","0","1157.2499999999998"
"4","50","0","0","16","842","0","842"
"3","50","0","0","31","1670.0000000000005","0","1670.0000000000005"
"7","50","0.05","0","28","1618.4500000000003","0","1618.4500000000003"
"8","50","0.05","0","53","3135.5499999999993","0","3135.5499999999993"
"5","50","0","0","24","1727.0000000000005","0","1727.0000000000005"
"3","50","0","0","32","1725","0","1725"
"2","50","0","0","21","1322.9999999999998","0","1322.9999999999998"
"7","50","0.05","0","29","1677.6499999999996","0","1677.6499999999996"
"6","50","0.05","0","22","1298.5499999999995","0","1298.5499999999995"
"4","50","0","0","17","945","0","945"
"3","50","0","0","33","1742.0000000000007","0","1742.0000000000007"
"1","50","0","0","45","3049.0000000000005","0","3049.0000000000005"
"7","50","0.05","0","30","1806.8000000000004","0","1806.8000000000004"
"2","50","0","0","22","1452.0000000000007","0","1452.0000000000007"
"8","50","0.05","0","54","3152.8999999999987","0","3152.8999999999987"
"5","50","0","0","25","1865.9999999999998","0","1865.9999999999998"
"3","50","0","0","34","1757.0000000000005","0","1757.0000000000005"
"2","50","0","0","23","1511.0000000000002","0","1511.0000000000002"
"6","50","0.05","0","23","1356.9000000000003","0","1356.9000000000003"
"4","50","0","0","18","998.9999999999999","0","998.9999999999999"
"3","50","0","0","35","1887","0","1887"
"1","50","0","0","46","3107.0000000000005","0","3107.0000000000005"
"2","50","0","0","24","1652.0000000000002","0","1652.0000000000002"
"8","50","0.05","0","55","3294.5999999999995","0","3294.5999999999995"
"5","50","0","0","26","1920.9999999999995","0","1920.9999999999995"
"3","50","0","0","36","1978","0","1978"
"1","50","0","0","47","3164.9999999999995","0","3164.9999999999995"
"7","50","0.05","0","31","1861.2000000000003","0","1861.2000000000003"
"6","50","0.05","0","24","1375.15","0","1375.15"
"2","50","0","0","25","1701.9999999999993","0","1701.9999999999993"
"4","50","0","0","19","1060","0","1060"
"5","50","0","0","27","1943","0","1943"
"3","50","0","0","37","2034.9999999999995","0","2034.9999999999995"
"2","50","0","0","26","1718.0000000000007","0","1718.0000000000007"
"8","50","0.05","0","56","3308.85","0","3308.85"
"5","50","0","0","28","2002.0000000000002","0","2002.0000000000002"
"3","50","0","0","38","2086.999999999999","0","2086.999999999999"
"7","50","0.05","0","32","1956.3000000000002","0","1956.3000000000002"
"2","50","0","0","27","1816","0","1816"
"6","50","0.05","0","25","1393.3499999999997","0","1393.3499999999997"
"4","50","0","0","20","1074.9999999999998","0","1074.9999999999998"
"3","50","0","0","39","2221","0","2221"
"2","50","0","0","28","1874.0000000000002","0","1874.0000000000002"
"7","50","0.05","0","33","1973.8999999999999","0","1973.8999999999999"
"6","50","0.05","0","26","1487.8999999999999","0","1487.8999999999999"
"5","50","0","0","29","2018","0","2018"
"1","50","0","0","48","3265.0000000000005","0","3265.0000000000005"
"3","50","0","0","40","2237.0000000000005","0","2237.0000000000005"
"7","50","0.05","0","34","2031.2499999999998","0","2031.2499999999998"
"8","50","0.05","0","57","3365.05","0","3365.05"
"4","50","0","0","21","1211.9999999999995","0","1211.9999999999995"
"3","50","0","0","41","2333","0","2333"
"5","50","0","0","30","2071.9999999999995","0","2071.9999999999995"
"1","50","0","0","49","3321","0","3321"
