"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"05/05/2018 15:17:25:980 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"5","50","0","1","24","1157.9999999999995","1157.9999999999995","0","0","0"
"8","50","0.05","1","23","756.6000000000003","756.6000000000003","0","0","0"
"2","50","0","1","30","1495","1495","0","0","0"
"1","50","0","1","18","744","744","0","0","0"
"6","50","0.05","1","21","787.4000000000001","787.4000000000001","0","0","0"
"3","50","0","1","30","1652.9999999999998","1652.9999999999998","0","0","0"
"7","50","0.05","1","28","1050.6999999999998","1050.6999999999998","0","0","0"
"8","50","0.05","1","24","879.75","879.75","0","0","0"
"3","50","0","1","31","1655.9999999999998","1655.9999999999998","0","0","0"
"4","50","0","1","23","851.9999999999999","851.9999999999999","0","0","0"
"7","50","0.05","1","29","1173.0499999999995","1173.0499999999995","0","0","0"
"2","50","0","1","31","1542","1542","0","0","0"
"5","50","0","1","25","1201.9999999999998","1201.9999999999998","0","0","0"
"1","50","0","1","19","788","788","0","0","0"
"8","50","0.05","1","25","887.9000000000001","887.9000000000001","0","0","0"
"6","50","0.05","1","22","793.1499999999997","793.1499999999997","0","0","0"
"3","50","0","1","32","1776.0000000000007","1776.0000000000007","0","0","0"
"7","50","0.05","1","30","1171.5500000000002","1171.5500000000002","0","0","0"
"4","50","0","1","24","893.9999999999999","893.9999999999999","0","0","0"
"5","50","0","1","26","1244.9999999999998","1244.9999999999998","0","0","0"
"8","50","0.05","1","26","1013.0999999999999","1013.0999999999999","0","0","0"
"3","50","0","1","33","1824","1824","0","0","0"
"7","50","0.05","1","31","1174.3000000000002","1174.3000000000002","0","0","0"
"2","50","0","1","32","1627.0000000000002","1627.0000000000002","0","0","0"
"4","50","0","1","25","939.9999999999999","939.9999999999999","0","0","0"
"5","50","0","1","27","1249.9999999999998","1249.9999999999998","0","0","0"
"3","50","0","1","34","1829.0000000000002","1829.0000000000002","0","0","0"
"6","50","0.05","1","23","841.0499999999998","841.0499999999998","0","0","0"
"2","50","0","1","33","1670","1670","0","0","0"
"3","50","0","1","35","1833.0000000000007","1833.0000000000007","0","0","0"
"8","50","0.05","1","27","1017.3999999999996","1017.3999999999996","0","0","0"
"5","50","0","1","28","1253","1253","0","0","0"
"7","50","0.05","1","32","1218.8500000000001","1218.8500000000001","0","0","0"
"1","50","0","1","20","795.0000000000002","795.0000000000002","0","0","0"
"4","50","0","1","26","947.0000000000001","947.0000000000001","0","0","0"
"2","50","0","1","34","1678","1678","0","0","0"
"3","50","0","1","36","1918","1918","0","0","0"
"6","50","0.05","1","24","963.4499999999997","963.4499999999997","0","0","0"
"7","50","0.05","1","33","1225.4000000000003","1225.4000000000003","0","0","0"
"8","50","0.05","1","28","1138.55","1138.55","0","0","0"
"4","50","0","1","27","1032.9999999999998","1032.9999999999998","0","0","0"
"2","50","0","1","35","1722.9999999999998","1722.9999999999998","0","0","0"
"6","50","0.05","1","25","969.8499999999999","969.8499999999999","0","0","0"
"3","50","0","1","37","1921.0000000000002","1921.0000000000002","0","0","0"
"8","50","0.05","1","29","1180.7","1180.7","0","0","0"
"5","50","0","1","29","1258.9999999999998","1258.9999999999998","0","0","0"
"2","50","0","1","36","1728.0000000000002","1728.0000000000002","0","0","0"
"3","50","0","1","38","2043.0000000000002","2043.0000000000002","0","0","0"
"1","50","0","1","21","799.0000000000002","799.0000000000002","0","0","0"
"4","50","0","1","28","1038.0000000000002","1038.0000000000002","0","0","0"
"8","50","0.05","1","30","1188.8","1188.8","0","0","0"
"7","50","0.05","1","34","1225.65","1225.65","0","0","0"
"2","50","0","1","37","1730.9999999999998","1730.9999999999998","0","0","0"
"3","50","0","1","39","2086.0000000000005","2086.0000000000005","0","0","0"
"6","50","0.05","1","26","1012.45","1012.45","0","0","0"
"4","50","0","1","29","1083","1083","0","0","0"
"8","50","0.05","1","31","1194.95","1194.95","0","0","0"
"5","50","0","1","30","1261.9999999999995","1261.9999999999995","0","0","0"
"3","50","0","1","40","2168","2168","0","0","0"
"7","50","0.05","1","35","1348.1500000000003","1348.1500000000003","0","0","0"
"2","50","0","1","38","1779.0000000000002","1779.0000000000002","0","0","0"
"8","50","0.05","1","32","1196.25","1196.25","0","0","0"
"3","50","0","1","41","2212","2212","0","0","0"
"1","50","0","1","22","803.9999999999999","803.9999999999999","0","0","0"
"4","50","0","1","30","1088.9999999999998","1088.9999999999998","0","0","0"
"7","50","0.05","1","36","1471.6999999999998","1471.6999999999998","0","0","0"
"3","50","0","1","42","2256.000000000001","2256.000000000001","0","0","0"
"6","50","0.05","1","27","1015.25","1015.25","0","0","0"
"8","50","0.05","1","33","1235.5500000000002","1235.5500000000002","0","0","0"
"4","50","0","1","31","1136","1136","0","0","0"
"5","50","0","1","31","1346.0000000000002","1346.0000000000002","0","0","0"
