"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:35:33:103 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"4","50","0","1","18","1312.9999999999998","1312.9999999999998","0"
"1","50","0","1","12","713.0000000000005","713.0000000000005","0"
"2","50","0","1","22","1517","1517","0"
"6","50","0.05","1","12","708.2500000000005","708.2500000000005","0"
"3","50","0","1","33","2158.0000000000005","2158.0000000000005","0"
"5","50","0","1","21","1561.9999999999998","1561.9999999999998","0"
"4","50","0","1","19","1347.9999999999993","1347.9999999999993","0"
"2","50","0","1","23","1569.0000000000002","1569.0000000000002","0"
"1","50","0","1","13","750","750","0"
"8","50","0.05","1","21","1406.2999999999997","1406.2999999999997","0"
"5","50","0","1","22","1598.0000000000002","1598.0000000000002","0"
"3","50","0","1","34","2272","2272","0"
"6","50","0.05","1","13","762.9500000000003","762.9500000000003","0"
"4","50","0","1","20","1450.9999999999998","1450.9999999999998","0"
"2","50","0","1","24","1623.0000000000002","1623.0000000000002","0"
"1","50","0","1","14","773.0000000000002","773.0000000000002","0"
"5","50","0","1","23","1705","1705","0"
"3","50","0","1","35","2311.0000000000005","2311.0000000000005","0"
"7","50","0.05","1","26","1829.6500000000003","1829.6500000000003","0"
"6","50","0.05","1","14","815.4500000000004","815.4500000000004","0"
"4","50","0","1","21","1469.9999999999993","1469.9999999999993","0"
"2","50","0","1","25","1634","1634","0"
"5","50","0","1","24","1816.9999999999998","1816.9999999999998","0"
"8","50","0.05","1","22","1472.8499999999997","1472.8499999999997","0"
"3","50","0","1","36","2347","2347","0"
"2","50","0","1","26","1681.9999999999995","1681.9999999999995","0"
"7","50","0.05","1","27","1905.7499999999995","1905.7499999999995","0"
"6","50","0.05","1","15","827.0000000000001","827.0000000000001","0"
"8","50","0.05","1","23","1536.75","1536.75","0"
"5","50","0","1","25","1842.0000000000005","1842.0000000000005","0"
"7","50","0.05","1","28","1981.8500000000004","1981.8500000000004","0"
"2","50","0","1","27","1773.9999999999995","1773.9999999999995","0"
"1","50","0","1","15","788.0000000000001","788.0000000000001","0"
"5","50","0","1","26","1900","1900","0"
"2","50","0","1","28","1821","1821","0"
"7","50","0.05","1","29","2011.95","2011.95","0"
"1","50","0","1","16","840.0000000000002","840.0000000000002","0"
"8","50","0.05","1","24","1559.9999999999995","1559.9999999999995","0"
"4","50","0","1","22","1487","1487","0"
"3","50","0","1","37","2412.9999999999995","2412.9999999999995","0"
"8","50","0.05","1","25","1578.7499999999995","1578.7499999999995","0"
"6","50","0.05","1","16","835.8500000000005","835.8500000000005","0"
"8","50","0.05","1","26","1712.4999999999995","1712.4999999999995","0"
"1","50","0","1","17","978.0000000000002","978.0000000000002","0"
"7","50","0.05","1","30","2154.5499999999997","2154.5499999999997","0"
"4","50","0","1","23","1498.0000000000002","1498.0000000000002","0"
"8","50","0.05","1","27","1755.4499999999998","1755.4499999999998","0"
"5","50","0","1","27","1971.0000000000002","1971.0000000000002","0"
"2","50","0","1","29","1986","1986","0"
"6","50","0.05","1","17","882.7500000000002","882.7500000000002","0"
"1","50","0","1","18","1022.0000000000001","1022.0000000000001","0"
"5","50","0","1","28","2001","2001","0"
"8","50","0.05","1","28","1835.2","1835.2","0"
"6","50","0.05","1","18","972.4999999999993","972.4999999999993","0"
"3","50","0","1","38","2485.0000000000005","2485.0000000000005","0"
"7","50","0.05","1","31","2195.8500000000004","2195.8500000000004","0"
"1","50","0","1","19","1103.0000000000007","1103.0000000000007","0"
"8","50","0.05","1","29","1949.45","1949.45","0"
"5","50","0","1","29","2061.0000000000005","2061.0000000000005","0"
"2","50","0","1","30","2065.9999999999995","2065.9999999999995","0"
"6","50","0.05","1","19","1018.5000000000005","1018.5000000000005","0"
"1","50","0","1","20","1135.0000000000005","1135.0000000000005","0"
"7","50","0.05","1","32","2271.5000000000005","2271.5000000000005","0"
"3","50","0","1","39","2548.0000000000005","2548.0000000000005","0"
"8","50","0.05","1","30","1985.7500000000005","1985.7500000000005","0"
"5","50","0","1","30","2121.9999999999995","2121.9999999999995","0"
"4","50","0","1","24","1544.9999999999998","1544.9999999999998","0"
"1","50","0","1","21","1162","1162","0"
"7","50","0.05","1","33","2344.8","2344.8","0"
"8","50","0.05","1","31","2051.2000000000007","2051.2000000000007","0"
"5","50","0","1","31","2143","2143","0"
"2","50","0","1","31","2145","2145","0"
"1","50","0","1","22","1180.9999999999995","1180.9999999999995","0"
"8","50","0.05","1","32","2119.6999999999994","2119.6999999999994","0"
"4","50","0","1","25","1574","1574","0"
"7","50","0.05","1","34","2412.0000000000005","2412.0000000000005","0"
"5","50","0","1","32","2156.9999999999995","2156.9999999999995","0"
"6","50","0.05","1","20","1062.3","1062.3","0"
"1","50","0","1","23","1228.9999999999995","1228.9999999999995","0"
"8","50","0.05","1","33","2266.1500000000005","2266.1500000000005","0"
"2","50","0","1","32","2214.000000000001","2214.000000000001","0"
"5","50","0","1","33","2287.000000000001","2287.000000000001","0"
"3","50","0","1","40","2650","2650","0"
"6","50","0.05","1","21","1094.7500000000005","1094.7500000000005","0"
"7","50","0.05","1","35","2480.2500000000005","2480.2500000000005","0"
"1","50","0","1","24","1244.0000000000002","1244.0000000000002","0"
