"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"05/07/2018 00:39:06:388 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"8","50","0.05","1","33","2020.9","2020.9","0","0","0"
"7","50","0.05","1","24","1708.600000000001","1708.600000000001","0","0","0"
"2","50","0","1","23","1872","1872","0","0","0"
"4","50","0","1","21","1365","1365","0","0","0"
"1","50","0","1","18","1464","1464","0","0","0"
"5","50","0","1","28","2227","2227","0","0","0"
"6","50","0.05","1","22","2091.900000000001","2091.900000000001","0","0","0"
"3","50","0","1","22","1538.9999999999998","1538.9999999999998","0","0","0"
"7","50","0.05","1","25","1836.4","1836.4","0","0","0"
"8","50","0.05","1","34","2070.7500000000005","2070.7500000000005","0","0","0"
"4","50","0","1","22","1415","1415","0","0","0"
"1","50","0","1","19","1550","1550","0","0","0"
"5","50","0","1","29","2394","2394","0","0","0"
"6","50","0.05","1","23","2178.6000000000004","2178.6000000000004","0","0","0"
"7","50","0.05","1","26","1886.3","1886.3","0","0","0"
"3","50","0","1","23","1586","1586","0","0","0"
"8","50","0.05","1","35","2117.600000000001","2117.600000000001","0","0","0"
"4","50","0","1","23","1465","1465","0","0","0"
"1","50","0","1","20","1599.9999999999998","1599.9999999999998","0","0","0"
"5","50","0","1","30","2482","2482","0","0","0"
"6","50","0.05","1","24","2305.3","2305.3","0","0","0"
"7","50","0.05","1","27","1935.2500000000002","1935.2500000000002","0","0","0"
"8","50","0.05","1","36","2205.350000000001","2205.350000000001","0","0","0"
"3","50","0","1","24","1674","1674","0","0","0"
"4","50","0","1","24","1554","1554","0","0","0"
"7","50","0.05","1","28","2064.2000000000007","2064.2000000000007","0","0","0"
"6","50","0.05","1","25","2352.000000000001","2352.000000000001","0","0","0"
"1","50","0","1","21","1650","1650","0","0","0"
"2","50","0","1","24","1922","1922","0","0","0"
"5","50","0","1","31","2648.0000000000005","2648.0000000000005","0","0","0"
"4","50","0","1","25","1680.9999999999998","1680.9999999999998","0","0","0"
"3","50","0","1","25","1763","1763","0","0","0"
"7","50","0.05","1","29","2114.150000000001","2114.150000000001","0","0","0"
"6","50","0.05","1","26","2519.7500000000005","2519.7500000000005","0","0","0"
"1","50","0","1","22","1699.9999999999998","1699.9999999999998","0","0","0"
"2","50","0","1","25","1971","1971","0","0","0"
"5","50","0","1","32","2776","2776","0","0","0"
"8","50","0.05","1","37","2288.9500000000007","2288.9500000000007","0","0","0"
"4","50","0","1","26","1847.9999999999998","1847.9999999999998","0","0","0"
"3","50","0","1","26","1852","1852","0","0","0"
"7","50","0.05","1","30","2164.1500000000005","2164.1500000000005","0","0","0"
"6","50","0.05","1","27","2646.5000000000014","2646.5000000000014","0","0","0"
"1","50","0","1","23","1787","1787","0","0","0"
"2","50","0","1","26","2021","2021","0","0","0"
"8","50","0.05","1","38","2338.650000000001","2338.650000000001","0","0","0"
"4","50","0","1","27","1897.9999999999998","1897.9999999999998","0","0","0"
"5","50","0","1","33","2824.9999999999995","2824.9999999999995","0","0","0"
"3","50","0","1","27","1939.9999999999998","1939.9999999999998","0","0","0"
"2","50","0","1","27","2065","2065","0","0","0"
"4","50","0","1","28","2065","2065","0","0","0"
"3","50","0","1","28","1987","1987","0","0","0"
"5","50","0","1","34","2872","2872","0","0","0"
"6","50","0.05","1","28","2696.3500000000013","2696.3500000000013","0","0","0"
"7","50","0.05","1","31","2253.100000000001","2253.100000000001","0","0","0"
"3","50","0","1","29","2116","2116","0","0","0"
"4","50","0","1","29","2113","2113","0","0","0"
"8","50","0.05","1","39","2427.6","2427.6","0","0","0"
"6","50","0.05","1","29","2785.3000000000006","2785.3000000000006","0","0","0"
"7","50","0.05","1","32","2299.900000000001","2299.900000000001","0","0","0"
"5","50","0","1","35","2922","2922","0","0","0"
"4","50","0","1","30","2162","2162","0","0","0"
"6","50","0.05","1","30","2874.2000000000007","2874.2000000000007","0","0","0"
"8","50","0.05","1","40","2554.4","2554.4","0","0","0"
"7","50","0.05","1","33","2386.6","2386.6","0","0","0"
"5","50","0","1","36","2971","2971","0","0","0"
"4","50","0","1","31","2329.0000000000005","2329.0000000000005","0","0","0"
"6","50","0.05","1","31","2963.100000000001","2963.100000000001","0","0","0"
"2","50","0","1","28","2152","2152","0","0","0"
"8","50","0.05","1","41","2601.100000000001","2601.100000000001","0","0","0"
"7","50","0.05","1","34","2475.4","2475.4","0","0","0"
"3","50","0","1","30","2204","2204","0","0","0"
