"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary p, tau=0"
"04/27/2018 21:22:46:141 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"1","50","0","0","29","1720.0000000000002","0","1720.0000000000002"
"3","50","0","0","31","2087","0","2087"
"8","50","0","0","42","2290","0","2290"
"4","50","0","0","63","3621.0000000000014","0","3621.0000000000014"
"5","50","0","0","46","2605.9999999999995","0","2605.9999999999995"
"1","50","0","0","30","1774.9999999999995","0","1774.9999999999995"
"6","50","0","0","63","3358.999999999999","0","3358.999999999999"
"7","50","0","0","56","3431.0000000000014","0","3431.0000000000014"
"8","50","0","0","43","2345.0000000000005","0","2345.0000000000005"
"4","50","0","0","64","3636.999999999999","0","3636.999999999999"
"1","50","0","0","31","1793","0","1793"
"5","50","0","0","47","2742","0","2742"
"3","50","0","0","32","2185","0","2185"
"7","50","0","0","57","3482","0","3482"
"8","50","0","0","44","2399","0","2399"
"1","50","0","0","32","1927","0","1927"
"4","50","0","0","65","3655.0000000000005","0","3655.0000000000005"
"5","50","0","0","48","2759","0","2759"
"6","50","0","0","64","3375.0000000000005","0","3375.0000000000005"
"7","50","0","0","58","3539.9999999999986","0","3539.9999999999986"
"8","50","0","0","45","2418.0000000000005","0","2418.0000000000005"
"4","50","0","0","66","3717","0","3717"
"3","50","0","0","33","2285.0000000000005","0","2285.0000000000005"
"7","50","0","0","59","3599.0000000000005","0","3599.0000000000005"
"8","50","0","0","46","2472.000000000001","0","2472.000000000001"
"4","50","0","0","67","3734.999999999999","0","3734.999999999999"
"6","50","0","0","65","3394.9999999999995","0","3394.9999999999995"
"1","50","0","0","33","1980.9999999999998","0","1980.9999999999998"
"7","50","0","0","60","3611.0000000000005","0","3611.0000000000005"
"8","50","0","0","47","2487","0","2487"
"3","50","0","0","34","2336.999999999999","0","2336.999999999999"
"4","50","0","0","68","3789.999999999999","0","3789.999999999999"
"2","50","0","0","50","2923.999999999999","0","2923.999999999999"
"1","50","0","0","34","2078.9999999999995","0","2078.9999999999995"
"8","50","0","0","48","2585","0","2585"
"7","50","0","0","61","3631.000000000001","0","3631.000000000001"
"4","50","0","0","69","3808.999999999999","0","3808.999999999999"
"6","50","0","0","66","3451.9999999999995","0","3451.9999999999995"
"2","50","0","0","51","2942.9999999999995","0","2942.9999999999995"
"8","50","0","0","49","2645.9999999999995","0","2645.9999999999995"
"1","50","0","0","35","2137","0","2137"
"7","50","0","0","62","3641.0000000000005","0","3641.0000000000005"
"4","50","0","0","70","3822.9999999999995","0","3822.9999999999995"
"3","50","0","0","35","2475.9999999999995","0","2475.9999999999995"
"2","50","0","0","52","2957.999999999999","0","2957.999999999999"
"8","50","0","0","50","2698.999999999999","0","2698.999999999999"
"5","50","0","0","49","2817.0000000000005","0","2817.0000000000005"
"7","50","0","0","63","3734.9999999999995","0","3734.9999999999995"
