"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure agent variance"
"05/14/2018 23:04:25:507 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2","agent-variance"
"2","50","0","0","32","1362.0000000000005","15","15","20","137.8"
"4","50","0","0","15","863.0000000000002","2","4","44","191.43703703703704"
"5","50","0","0","25","1076","20","8","22","236.57037037037034"
"7","50","0","0","26","1436.9999999999998","0","4","46","177.45925925925928"
"6","50","0","0","27","1071.0000000000002","10","9","31","186.67407407407407"
"2","50","0","0","33","1415.9999999999998","14","32","4","139.45925925925926"
"8","50","0","0","30","1545","20","9","21","189.8740740740741"
"5","50","0","0","26","1076.0000000000002","0","48","2","236.5703703703704"
"4","50","0","0","16","903.0000000000002","0","46","4","188.2296296296296"
"2","50","0","0","34","1419.0000000000002","3","0","47","175.28148148148148"
"8","50","0","0","31","1584.9999999999998","0","50","0","189.87407407407406"
"7","50","0","0","27","1559.999999999999","3","28","19","171.6962962962963"
"6","50","0","0","28","1200.0000000000002","9","38","3","193.02962962962965"
"5","50","0","0","27","1076","0","2","48","236.57037037037037"
"2","50","0","0","35","1424.9999999999998","6","20","24","159.9925925925926"
"8","50","0","0","32","1625.0000000000002","0","10","40","176.91111111111113"
"7","50","0","0","28","1611.9999999999995","12","4","34","182.6"
"4","50","0","0","17","916.0000000000002","13","24","13","179.5925925925926"
"6","50","0","0","29","1255.9999999999998","16","18","16","194.76296296296297"
"5","50","0","0","28","1079.9999999999998","4","37","9","238.58518518518517"
"2","50","0","0","36","1427","2","33","15","138.05925925925928"
"8","50","0","0","33","1676","11","12","27","177.75555555555556"
"7","50","0","0","29","1751","19","28","3","188.4666666666667"
"6","50","0","0","30","1255.9999999999998","0","40","10","190.00740740740738"
"5","50","0","0","29","1133.0000000000002","13","12","25","234.3037037037037"
"2","50","0","0","37","1485.0000000000002","18","21","11","144.78518518518518"
"8","50","0","0","34","1685","9","24","17","177.15555555555557"
"1","50","0","0","10","515","0","45","5","126.06666666666666"
"6","50","0","0","31","1335.9999999999998","0","4","46","180.00740740740738"
"7","50","0","0","30","1875.9999999999998","5","35","10","160.5851851851852"
"5","50","0","0","30","1154","21","7","22","239.74814814814815"
"2","50","0","0","38","1535.999999999999","11","28","11","134.5851851851852"
"8","50","0","0","35","1701.9999999999995","17","11","22","175.65185185185183"
"6","50","0","0","32","1387.0000000000002","11","6","33","188.74814814814818"
"7","50","0","0","31","1999.0000000000002","3","9","38","160.0666666666667"
"1","50","0","0","11","514.9999999999999","0","5","45","158.2888888888889"
"3","50","0","0","24","743.9999999999999","27","17","6","244.57777777777778"
"2","50","0","0","39","1616.0000000000002","0","0","50","163.53333333333336"
"7","50","0","0","32","2042.9999999999998","4","27","19","161.65925925925924"
"4","50","0","0","18","961.0000000000001","5","6","39","194.03703703703704"
"6","50","0","0","33","1436","9","38","3","193"
"8","50","0","0","36","1742.0000000000002","0","50","0","175.65185185185183"
"5","50","0","0","31","1275","1","48","1","240.6592592592593"
"3","50","0","0","25","744.9999999999999","1","1","48","238.37777777777774"
"2","50","0","0","40","1661","5","30","15","162.5851851851852"
"7","50","0","0","33","2088.0000000000005","5","3","42","183.85925925925926"
"5","50","0","0","32","1315.0000000000002","0","2","48","240.65925925925924"
"8","50","0","0","37","1862","0","11","39","166.0814814814815"
"3","50","0","0","26","744.9999999999997","0","49","1","234.76296296296297"
"6","50","0","0","34","1454.0000000000005","18","19","13","197.47407407407408"
"7","50","0","0","34","2144","16","33","1","189.50370370370368"
"5","50","0","0","33","1318.9999999999998","4","36","10","238.64444444444447"
"8","50","0","0","38","1874","12","11","27","168.17037037037036"
"7","50","0","0","35","2151.9999999999995","8","29","13","160.7037037037037"
"2","50","0","0","41","1705.0000000000002","4","22","24","138.49629629629626"
"5","50","0","0","34","1370.9999999999998","12","13","25","233.7851851851852"
"4","50","0","0","19","1101","20","24","6","204.50370370370374"
"8","50","0","0","39","1883.0000000000002","9","24","17","167.6"
"6","50","0","0","35","1453.9999999999998","0","39","11","193.05925925925928"
"2","50","0","0","42","1761","16","30","4","151.91851851851854"
"1","50","0","0","12","567.9999999999999","13","26","11","152.31851851851854"
"8","50","0","0","40","1899.9999999999998","17","11","22","163.54814814814813"
"6","50","0","0","36","1494","0","4","46","188.97037037037035"
"2","50","0","0","43","1812","11","17","22","135.6074074074074"
