"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/14/2018 22:07:36:339 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"4","50","0","1","37","1344.0000000000002","8","27","15"
"8","50","0","1","42","1507.9999999999998","4","33","13"
"5","50","0","1","40","1314.0000000000002","13","30","7"
"2","50","0","1","29","1579","14","22","14"
"3","50","0","1","45","1887.9999999999998","0","49","1"
"8","50","0","1","43","1516.9999999999998","9","2","39"
"6","50","0","1","35","2166","2","9","39"
"5","50","0","1","41","1354.0000000000002","0","47","3"
"2","50","0","1","30","1699","0","2","48"
"3","50","0","1","46","1888.9999999999998","1","0","49"
"7","50","0","1","36","1576.0000000000005","9","26","15"
"5","50","0","1","42","1405.0000000000005","11","32","7"
"2","50","0","1","31","1739.0000000000002","0","47","3"
"6","50","0","1","36","2179","13","32","5"
"3","50","0","1","47","1942.9999999999998","14","32","4"
"4","50","0","1","38","1401.0000000000002","17","15","18"
"8","50","0","1","44","1518.9999999999998","2","46","2"
"5","50","0","1","43","1413","8","1","41"
"2","50","0","1","32","1827.0000000000002","8","11","31"
"6","50","0","1","37","2189.0000000000005","10","14","26"
"1","50","0","1","22","1343","4","23","23"
"7","50","0","1","37","1667","11","26","13"
"5","50","0","1","44","1413.0000000000007","0","3","47"
"4","50","0","1","39","1413.9999999999998","13","22","15"
"2","50","0","1","33","1885","18","22","10"
"1","50","0","1","23","1400.9999999999993","18","13","19"
"3","50","0","1","48","1944.9999999999998","2","17","31"
"8","50","0","1","45","1523","4","5","41"
"7","50","0","1","38","1668.0000000000002","1","41","8"
"5","50","0","1","45","1511.9999999999998","19","16","15"
"4","50","0","1","40","1414","0","0","50"
"6","50","0","1","38","2201","12","12","26"
"1","50","0","1","24","1481.9999999999998","1","46","3"
"5","50","0","1","46","1511.9999999999998","0","49","1"
"4","50","0","1","41","1414","0","41","9"
"6","50","0","1","39","2201","0","46","4"
"2","50","0","1","34","1979","14","23","13"
"8","50","0","1","46","1542.9999999999998","20","17","13"
"5","50","0","1","47","1635.0000000000007","3","41","6"
"4","50","0","1","42","1502.9999999999998","9","28","13"
"7","50","0","1","39","1686","18","12","20"
"1","50","0","1","25","1574.9999999999998","13","24","13"
"8","50","0","1","47","1587.0000000000002","4","36","10"
"4","50","0","1","43","1557","14","15","21"
"5","50","0","1","48","1684.0000000000002","9","7","34"
"3","50","0","1","49","2005.9999999999993","21","8","21"
"2","50","0","1","35","2059.0000000000005","0","2","48"
"7","50","0","1","40","1686.0000000000002","0","0","50"
"1","50","0","1","26","1574.9999999999993","0","1","49"
"6","50","0","1","40","2241.999999999999","1","5","44"
